No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,WISEA J000022.69-010350.4,0.0944,-1.06401,*,1199170,4,PHOT,21.7g,0,1,0,25,5,1,4,0
2,SDSS J000022.88-010351.4,0.09537,-1.0643,*,1274118,4.25,PHOT,23.3g,0,1,0,5,2,1,4,0
3,SDSS J000045.96-005546.0,0.19151,-0.92947,G,1259128,4.2,PHOT,22.1g,0,1,0,15,2,1,4,0
4,SDSS J000046.67+010951.3,0.19448,1.16426,*,1273557,4.248128,SPEC,24.1g,0,8,0,5,4,3,4,0
5,SDSS J000101.47+010230.5,0.25615,1.04181,G,1349066,4.5,PHOT,26.0g,0,1,0,15,2,1,4,0
6,WISEA J000107.21-000713.4,0.28012,-0.1204,G,1304097,4.35,PHOT,22.7g,0,1,0,27,3,1,4,0
7,[YWF2017] J000.31996-00.49484,0.31997,-0.49484,QSO,1349066,4.5,PHOT,,0,1,0,0,1,1,0,0
8,WISEA J000119.27+010546.0,0.33039,1.09618,*,1259128,4.2,PHOT,22.9g,0,1,0,17,3,1,4,0
9,WISEA J000121.62+265008.9,0.34011,26.83588,QSO,1723807,5.75,,,0,4,0,12,2,1,0,0
10,SDSS J000136.52+005854.2,0.40217,0.98174,*,1274118,4.25,PHOT,24.1g,0,1,0,5,2,1,4,0
11,SDSS J000140.41-005048.4,0.41842,-0.8468,*,1257630,4.195,PHOT,23.2g,0,2,0,5,1,1,3,0
12,[YWF2017] J000.45089-00.18836,0.45089,-0.18836,QSO,1439004,4.8,PHOT,,0,1,0,0,1,1,0,0
13,WISEA J000239.39+255035.1,0.66412,25.843,QSO,1744792,5.82,,18.9z,0,48,0,35,14,12,0,0
14,SDSS J000243.01-001958.1,0.67925,-0.33281,*,1439004,4.8,PHOT,24.6g,0,1,0,5,2,1,3,0
15,WISEA J000314.99-000018.2,0.81248,-0.00499,G,1364056,4.55,PHOT,23.3g,0,1,0,31,4,1,4,0
16,[HB89] 0000-263,0.84546,-26.05467,QSO,1228550,4.098,,18,0,196,5,8,11,11,0,0
17,WISEA J000322.94-260318.3,0.84563,-26.05507,IrS,1232447,4.111,SPEC,,0,3,0,39,7,1,1,0
